NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK
2320445900,101,북변동 268-15,0,20250512,,NODE0001,
2320324800,101,월곶면 고막리 443-13,0,20250512,,NODE0001,
1690276800,101,길상면 선두리 1024-14,0,20250512,,NODE0001,
1690200200,101,교동면 읍내리 573-1,0,20250512,,NODE0001,
2320348900,107,최소노드배치점,0,20250512,,NODE0001,
1690232000,107,최소노드배치점,0,20250512,,NODE0001,
1690245900,107,최소노드배치점,0,20250512,,NODE0001,
1690258900,107,최소노드배치점,0,20250512,,NODE0001,
2320034704,101,마송사거리,0,20250512,,NODE0001,
2320033601,104,조합교(동측),0,20250512,,NODE0001,
2320043903,101,양촌읍 학운리 3132,0,20250512,,NODE0001,
2320201402,101,향산리33-1,0,20250512,,NODE0001,
2320205602,101,학운리702,0,20250512,,NODE0001,
2320071204,101,마산동702-1,0,20250512,,NODE0001,
2320029501,103,속성변화점,0,20250512,,NODE0001,
1690003013,101,서문삼거리,0,20250512,,NODE0001,
2320004506,101,장기IC사거리,0,20250512,,NODE0001,
1690004902,101,장흥리56-10,0,20250512,,NODE0001,
2320057501,106,걸포IC(서측),0,20250512,,NODE0001,
2320094901,101,운양동1395,0,20250512,,NODE0001,
2320125805,101,구래리431-3,0,20250512,,NODE0001,
1690006206,101,덕진진입구교차로,0,20250512,,NODE0001,
2320000414,103,속성변화점,0,20250512,,NODE0001,
2320177302,101,사우초등학교,0,20250512,,NODE0001,
2320017404,101,사우삼거리,0,20250512,,NODE0001,
2320077803,101,장기역,0,20250512,,NODE0001,
1690012201,101,양사면 철산리 607-8,0,20250512,,NODE0001,
1690022601,102,관청리248-1,0,20250512,,NODE0001,
1690004803,101,길화교,0,20250512,,NODE0001,
2320005219,101,송마리입구교차로,0,20250512,,NODE0001,
2320089001,101,김포농협신도시지점,0,20250512,,NODE0001,
2320002107,101,풍무동197-5,0,20250512,,NODE0001,
1690009004,101,선원면 선행리 372,0,20250512,,NODE0001,
2320005604,101,간동입구,0,20250512,,NODE0001,
2320171708,101,학운리3418,0,20250512,,NODE0001,
2320099902,101,샘재사거리,0,20250512,,NODE0001,
1690018203,101,하일리645-2,0,20250512,,NODE0001,
2320003619,101,나진검문소앞,0,20250512,,NODE0001,
2320025301,101,건영아파트앞,0,20250512,,NODE0001,
2320073703,101,대원칸타빌아파트,0,20250512,,NODE0001,
2320088603,101,운양주민센터입구삼거리,0,20250512,,NODE0001,
2320057101,101,김포소방서앞,0,20250512,,NODE0001,
1690006717,101,탑재삼거리,0,20250512,,NODE0001,
2320065802,101,마산동 634-1,0,20250512,,NODE0001,
2320000423,106,고촌IC(서측),1,20250512,,NODE0001,
2320075602,101,고창마을사거리,0,20250512,,NODE0001,
1690016502,101,길상교차로,0,20250512,,NODE0001,
2320007430,101,통진읍 옹정리 44-1,1,20250512,,NODE0001,
2320110403,101,발산교차로,0,20250512,,NODE0001,
2320043509,101,학운리3091,0,20250512,,NODE0001,
2320195004,101,전호리751,0,20250512,,NODE0001,
2320055202,106,나진IC,0,20250512,,NODE0001,
2320515400,107,최소노드배치점,0,20250512,,NODE0001,
2320519800,107,최소노드배치점,0,20250512,,NODE0001,
2320262000,101,월곶면 갈산리 190-10,0,20250512,,NODE0001,
2320432600,101,북변동 719,0,20250512,,NODE0001,
1690089600,101,강화읍 갑곳리 378-8,0,20250512,,NODE0001,
2320416700,101,감정동 406-6,0,20250512,,NODE0001,
2320492200,101,하성면 원산리 556-17,0,20250512,,NODE0001,
2320271700,101,통진읍 가현리 867-15,0,20250512,,NODE0001,
1690109100,101,내가면 구하리 883,0,20250512,,NODE0001,
2320272700,101,장기동 1988,0,20250512,,NODE0001,
2320284500,101,걸포동 1543,0,20250512,,NODE0001,
1690123900,101,삼산면 매음리 1124,0,20250512,,NODE0001,
2320372000,101,고촌읍 신곡리 1275,0,20250512,,NODE0001,
1690141600,101,교동면 상용리 765-3,0,20250512,,NODE0001,
2320302900,101,통진읍 가현리 867-15,0,20250512,,NODE0001,
2320303500,101,풍무동 1103,0,20250512,,NODE0001,
1690157900,101,송해면 하도리 372-8,0,20250512,,NODE0001,
2320450700,101,감정동 482-44,0,20250512,,NODE0001,
1690186000,101,교동면 고구리 259-2,0,20250512,,NODE0001,
2320375600,101,고촌읍 신곡리 486-1,0,20250512,,NODE0001,
2320462700,101,사우동 236-2,0,20250512,,NODE0001,
1690214100,107,최소노드배치점,0,20250512,,NODE0001,
1690220200,107,최소노드배치점,0,20250512,,NODE0001,
2320468400,107,최소노드배치점,0,20250512,,NODE0001,
1690232300,107,최소노드배치점,0,20250512,,NODE0001,
2320469900,107,최소노드배치점,0,20250512,,NODE0001,
1690246100,107,최소노드배치점,0,20250512,,NODE0001,
1690246400,107,최소노드배치점,0,20250512,,NODE0001,
1690249900,107,최소노드배치점,0,20250512,,NODE0001,
1690252200,107,최소노드배치점,0,20250512,,NODE0001,
1690255700,107,최소노드배치점,0,20250512,,NODE0001,
2320171605,101,학운리888,0,20250512,,NODE0001,
2320202105,101,월곶면 갈산리 425-1,0,20250512,,NODE0001,
1690000503,101,전등사입구교차로,0,20250512,,NODE0001,
2320184501,102,대명리나루터,0,20250512,,NODE0001,
1690005001,101,도원사,0,20250512,,NODE0001,
2320187204,101,학운리3585,0,20250512,,NODE0001,
2320182302,102,마곡리643-12,0,20250512,,NODE0001,
2320171302,101,선수삼거리,0,20250512,,NODE0001,
1690008302,101,기상관측소앞교차로,0,20250512,,NODE0001,
1690018601,101,월곳리609,1,20250512,,NODE0001,
2320062704,101,구래동 6930,0,20250512,,NODE0001,
2320088701,101,장기동 1946,0,20250512,,NODE0001,
2320046604,101,김포양곡휴먼시아6단지아파트,0,20250512,,NODE0001,
2320181203,101,마송리599,0,20250512,,NODE0001,
2320177003,101,사우동1470-2,0,20250512,,NODE0001,
2320201202,101,향산초중학교,0,20250512,,NODE0001,
2320085302,101,래미안김포한강6단지아파트,0,20250512,,NODE0001,
2320072202,102,대곡동 16-3,0,20250512,,NODE0001,
2320165810,101,신곡리686,0,20250512,,NODE0001,
2320125703,101,양곡리1504,0,20250512,,NODE0001,
1690011902,103,속성변화점,0,20250512,,NODE0001,
2320042809,101,양촌읍 학운리 3138,0,20250512,,NODE0001,
1690007702,101,연리35-7,0,20250512,,NODE0001,
2320039004,101,대능리614,0,20250512,,NODE0001,
2320014401,101,풍무초등학교앞,0,20250512,,NODE0001,
2320181703,101,도사리618,0,20250512,,NODE0001,
2320033301,101,대곶면 송마리 51-18,0,20250512,,NODE0001,
2320097801,101,운양동1362,0,20250512,,NODE0001,
2320074503,101,장기동 1830,0,20250512,,NODE0001,
2320035907,101,마곡사거리,0,20250512,,NODE0001,
2320083202,102,장기동1549,0,20250512,,NODE0001,
1690001403,101,찬우물고개앞교차로,0,20250512,,NODE0001,
2320014302,103,속성변화점,0,20250512,,NODE0001,
2320025602,101,김포시외버스터미널,0,20250512,,NODE0001,
2320026701,101,현대아파트,0,20250512,,NODE0001,
2320067401,101,마산동 715,0,20250512,,NODE0001,
2320032504,101,도룡동입구교차로,0,20250512,,NODE0001,
2320089504,101,태장로입구사거리,1,20250512,,NODE0001,
2320193202,101,신곡리697,1,20250512,,NODE0001,
2320014808,101,풍무동368-12,0,20250512,,NODE0001,
2320382300,101,북변동 235-7,0,20250512,,NODE0001,
2320040103,101,김포장기동우체국,1,20250512,,NODE0001,
1690029900,101,강화읍 옥림리 253-3,0,20250512,,NODE0001,
2320386600,101,양촌읍 학운리 1252,0,20250512,,NODE0001,
2320387300,101,사우동 255-17,0,20250512,,NODE0001,
1690312100,107,최소노드배치점,0,20250512,,NODE0001,
1690312600,107,최소노드배치점,0,20250512,,NODE0001,
2320521200,107,최소노드배치점,0,20250512,,NODE0001,
1690321000,107,최소노드배치점,0,20250512,,NODE0001,
2320461800,101,마산동 721,0,20250512,,NODE0001,
1690068700,101,교동면 대룡리 1087-1,0,20250512,,NODE0001,
1690094100,101,양사면 북성리 1425,0,20250512,,NODE0001,
1690120800,101,강화읍 갑곳리 1089-8,0,20250512,,NODE0001,
2320424900,101,대곶면 약암리 764-1,0,20250512,,NODE0001,
1690125600,101,송해면 당산리 425-67,0,20250512,,NODE0001,
2320482700,101,운양동 1247-3,0,20250512,,NODE0001,
2320438300,101,사우동 225-49,0,20250512,,NODE0001,
1690272400,101,길상면 선두리 산516,0,20250512,,NODE0001,
1690151200,101,내가면 황청리 1014-3,0,20250512,,NODE0001,
1690159600,101,선원면 냉정리 108-11,0,20250512,,NODE0001,
2320315500,101,통진읍 마송리 623,0,20250512,,NODE0001,
2320315800,101,대곶면 석정리 663,0,20250512,,NODE0001,
1690165200,101,양사면 북성리 1234-3,0,20250512,,NODE0001,
2320320200,101,고촌읍 태리 산200-1,0,20250512,,NODE0001,
1690277300,101,길상면 초지리 1248-4,0,20250512,,NODE0001,
1690184400,101,송해면 솔정리 91-3,0,20250512,,NODE0001,
2320350400,107,최소노드배치점,0,20250512,,NODE0001,
1690221600,107,최소노드배치점,0,20250512,,NODE0001,
1690230900,107,최소노드배치점,0,20250512,,NODE0001,
1690253100,107,최소노드배치점,0,20250512,,NODE0001,
1690257600,107,최소노드배치점,0,20250512,,NODE0001,
1690003805,101,인화리582-12,0,20250512,,NODE0001,
2320202102,101,월곶면 갈산리 557-2,0,20250512,,NODE0001,
2320007019,104,마송IC교(서측),0,20250512,,NODE0001,
2320027601,101,대우아파트앞,0,20250512,,NODE0001,
2320049502,103,속성변화점,0,20250512,,NODE0001,
2320075001,102,장기동 1865-8,0,20250512,,NODE0001,
2320204403,101,귀전리771-2,0,20250512,,NODE0001,
2320060502,101,구래동 6917-7,0,20250512,,NODE0001,
2320035904,101,원산리655-4,0,20250512,,NODE0001,
2320185501,102,율생리617-39,0,20250512,,NODE0001,
2320078804,101,김포시육아종합지원센터,0,20250512,,NODE0001,
2320199703,101,대포리264-10,0,20250512,,NODE0001,
2320005206,101,대곶면사무소입구교차로,0,20250512,,NODE0001,
2320019601,101,감정중학교앞,0,20250512,,NODE0001,
2320090403,101,운양동 1411-2,0,20250512,,NODE0001,
2320090502,101,EV충전소김포경찰서,0,20250512,,NODE0001,
2320083702,101,장기동 2044,0,20250512,,NODE0001,
2320092004,101,국민건강보험공단김포지사,0,20250512,,NODE0001,
2320040302,101,장기초등학교,0,20250512,,NODE0001,
2320094503,101,운양동 1337-2,0,20250512,,NODE0001,
1690019704,101,월곳리584,0,20250512,,NODE0001,
2320207003,101,학운리4183,0,20250512,,NODE0001,
2320083004,101,장기동 1780,0,20250512,,NODE0001,
2320083604,101,장기동 2047-6,0,20250512,,NODE0001,
2320090301,101,운양동 1424,0,20250512,,NODE0001,
2320185101,101,율생리620-10,0,20250512,,NODE0001,
2320090102,101,한국전력공사김포지사,0,20250512,,NODE0001,
2320205703,101,학운리687,0,20250512,,NODE0001,
2320099504,101,샘재유치원,0,20250512,,NODE0001,
2320180001,101,옹정리182-27,0,20250512,,NODE0001,
2320008213,101,월곶면 군하리 440-20,0,20250512,,NODE0001,
2320197403,103,케이알코리아,0,20250512,,NODE0001,
2320041703,101,고막리마을회관,0,20250512,,NODE0001,
2320125812,101,양곡리1521,0,20250512,,NODE0001,
2320056301,101,한강메트로자이3단지아파트,0,20250512,,NODE0001,
2320180604,101,마송리602,0,20250512,,NODE0001,
1690008701,103,속성변화점,0,20250512,,NODE0001,
2320003620,101,나진검문소앞,0,20250512,,NODE0001,
2320188702,101,학운리3590,0,20250512,,NODE0001,
2320097102,101,운양동 1376,0,20250512,,NODE0001,
2320021401,103,속성변화점,0,20250512,,NODE0001,
2320172304,101,학운리3234,0,20250512,,NODE0001,
2320110902,101,운양삼거리,0,20250512,,NODE0001,
2320019104,101,독자삼거리,0,20250512,,NODE0001,
2320022904,101,감정삼거리,0,20250512,,NODE0001,
2320170703,101,풍무동26-16,0,20250512,,NODE0001,
2320088201,101,청수골입구,0,20250512,,NODE0001,
2320061501,101,나비초등학교,0,20250512,,NODE0001,
2320379400,104,학현천1교(북측),0,20250512,,NODE0001,
2320220200,101,대곶면 초원지리 606-10,0,20250512,,NODE0001,
2320225500,101,구래동 6926-3,0,20250512,,NODE0001,
1690053100,101,강화읍 신문리 583-4,0,20250512,,NODE0001,
1690295200,107,최소노드배치점,0,20250512,,NODE0001,
1690296000,107,최소노드배치점,0,20250512,,NODE0001,
2320522100,107,최소노드배치점,0,20250512,,NODE0001,
1690275600,101,길상면 선두리 90-8,0,20250512,,NODE0001,
1690185100,101,선원면 신정리 681,0,20250512,,NODE0001,
2320336900,101,통진읍 도사리 965-1,0,20250512,,NODE0001,
1690188200,101,양사면 교산리 1379,0,20250512,,NODE0001,
1690278200,101,길상면 장흥리 산178-8,0,20250512,,NODE0001,
1690204800,101,양사면 인화리 산533,0,20250512,,NODE0001,
2320463600,101,양촌읍 학운리 3118,0,20250512,,NODE0001,
1690209200,107,최소노드배치점,0,20250512,,NODE0001,
2320347600,107,최소노드배치점,0,20250512,,NODE0001,
2320505200,107,최소노드배치점,0,20250512,,NODE0001,
1690232400,107,최소노드배치점,0,20250512,,NODE0001,
2320471900,107,최소노드배치점,0,20250512,,NODE0001,
2320366200,107,최소노드배치점,0,20250512,,NODE0001,
2320094801,101,운양동1384,0,20250512,,NODE0001,
2320049002,104,굴포천교(동측),0,20250512,,NODE0001,
2320047101,102,하성면 마곡리 636-1,0,20250512,,NODE0001,
1690016602,101,공설운동장교차로,0,20250512,,NODE0001,
1690020002,104,터널(서측),0,20250512,,NODE0001,
1690003901,102,인화리종점교차로,0,20250512,,NODE0001,
2320033903,101,대곶면 석정리 650-8,0,20250512,,NODE0001,
1690002415,101,강화읍 관청리 1049,0,20250512,,NODE0001,
2320186502,101,학운리3922,0,20250512,,NODE0001,
2320196403,101,굴포교,0,20250512,,NODE0001,
2320003401,101,향동교차로,0,20250512,,NODE0001,
2320081203,101,장기동 2056,0,20250512,,NODE0001,
2320181201,101,마송리599,0,20250512,,NODE0001,
1690006205,101,덕진진입구교차로,0,20250512,,NODE0001,
1690024403,101,대룡리944-26,0,20250512,,NODE0001,
2320032601,103,속성변화점,0,20250512,,NODE0001,
2320035603,104,갈산교(서측),0,20250512,,NODE0001,
2320204703,101,하성중학교,0,20250512,,NODE0001,
1690007101,101,오두리698,0,20250512,,NODE0001,
2320094002,101,하늘빛초등학교,0,20250512,,NODE0001,
2320096103,101,운양동 1325-1,0,20250512,,NODE0001,
