LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK
1690007307,1690098700,1690078200,1,104,000,-,강화대로,0,0,0,40,0,0,0,0,24.050087562236,20250512,,LINK1007,1690007300
2320106809,2320318700,2320217900,1,107,000,-,종생로,0,0,0,10,0,0,0,0,64.918240931483,20250512,,LINK1007,2320106802
2320447800,2320162905,2320357300,2,106,000,355,양곡우회로,0,0,0,60,0,0,0,0,486.275894797877,20250512,,LINK0003,
2320148401,2320059401,2320059404,2,107,000,-,김포한강9로,0,0,0,30,0,0,0,0,9.909143963948,20250512,,LINK0001,
2320480302,2320172401,2320172404,1,107,000,-,학운산단2로,0,0,0,50,0,0,0,0,12.000933630390,20250512,,LINK0001,
2320537302,2320188604,2320188603,1,107,000,-,-,0,0,0,40,0,0,0,0,11.999990499727,20250512,도로명없음,LINK0001,
2320216501,2320080501,2320080504,1,107,000,-,초당로61번길,0,0,0,10,0,0,0,0,10.007423370489,20250512,,LINK0001,
1690014031,1690192100,1690040200,1,104,000,-,고려산로,0,0,0,50,0,0,0,0,330.950512838886,20250512,,LINK1007,1690014000
2320573502,2320202505,2320202504,1,107,000,-,군하로,0,0,0,60,0,0,0,0,21.775874420326,20250512,,LINK0001,
2320050208,2320299500,2320249500,1,107,000,-,용강로,0,0,0,10,0,0,0,0,67.707457299840,20250512,,LINK1007,2320050201
2320235201,2320086903,2320086902,1,107,000,-,김포한강2로24번길,0,0,0,10,0,0,0,0,9.999874919941,20250512,,LINK0001,
2320008902,2320003619,2320003617,3,107,003,-,김포대로,0,0,0,60,0,0,0,0,41.343587124172,20250512,,LINK0003,
2320342313,2320042509,2320042508,2,107,000,-,황금3로,0,0,0,60,0,0,0,0,12.948377502770,20250512,,LINK0001,
2320121601,2320043904,2320043903,1,107,000,-,-,0,0,0,30,0,0,0,0,13.051821703284,20250512,도로명없음,LINK0001,
2320070202,2320424600,2320404400,1,107,000,-,북변중로,0,0,0,30,0,0,0,0,107.741233296922,20250512,,LINK1007,2320070200
2320042424,2320353000,2320033209,1,107,000,-,대곶북로,0,0,0,60,0,0,0,0,365.153019176236,20250512,,LINK1007,2320042401
2320145702,2320400900,2320456200,3,106,000,355,김포한강10로,0,0,0,60,0,0,0,0,27.896044177877,20250512,,LINK1007,2320145700
2320134602,2320258000,2320052002,2,106,000,355,서암고정로,0,0,0,50,0,0,0,0,129.228065336414,20250512,,LINK1007,2320134600
1690049400,1690019301,1690317200,1,104,000,-,강화산단로,0,0,0,30,0,0,0,0,263.909648292365,20250512,,LINK0003,
2320231600,2320085503,2320086004,1,107,000,-,김포한강2로24번길,0,0,0,10,0,0,0,0,94.620169800999,20250512,,LINK0003,
2320527203,2320210700,2320029902,2,107,000,-,대명항로,0,0,0,60,0,0,0,0,29.734379244276,20250512,,LINK1007,2320527200
1690011301,1690001204,1690001203,1,104,000,-,대문고개로,0,0,0,50,0,0,0,0,10.438626584745,20250512,,LINK0001,
1690028904,1690010712,1690010711,1,104,000,-,동문로,0,0,0,50,0,0,0,0,12.007885543161,20241129,,LINK1007,1690028901
2320559504,2320425200,2320448400,1,107,000,-,대곶남로,0,0,0,60,0,0,0,0,120.452737114921,20250512,,LINK1007,2320559501
1690047100,1690018904,1690018601,2,104,000,-,강화산단로,0,0,0,50,0,0,0,0,262.574979151383,20250512,,LINK0003,
2320544201,2320191104,2320191103,1,107,000,-,-,0,0,0,40,0,0,0,0,11.999990878436,20250512,도로명없음,LINK0001,
2320561001,2320007029,2320198104,3,103,000,48,김포대로,0,0,0,70,0,0,0,0,156.336188176539,20250512,,LINK0003,
2320090902,2320028411,2320392400,2,107,000,-,홍도평로,0,0,0,60,0,0,0,0,83.116958644867,20250512,,LINK0003,
2320060004,2320445900,2320026704,1,107,000,-,중구로,0,0,0,30,0,0,0,0,51.224353586964,20250512,,LINK1007,2320060000
2320449200,2320005103,2320299100,1,107,000,-,양곡4로,0,0,0,40,0,0,0,0,332.558253660911,20250512,,LINK0003,
2320588300,2320206503,2320206204,1,107,000,-,황금산단2로,0,0,0,40,0,0,0,0,68.340687075875,20250512,,LINK0003,
2320089801,2320028408,2320028407,1,107,000,-,금파로,0,0,0,30,0,0,0,0,13.712875768233,20250512,,LINK0001,
1690009227,1690012501,1690012504,1,104,000,-,신촌로,0,0,0,60,0,0,0,0,30.383239243535,20250512,,LINK0001,
2320542000,2320190103,2320190302,1,107,000,-,걸포로10번길,0,0,0,40,0,0,0,0,41.236319754292,20250512,,LINK0003,
1690006707,1690003010,1690003013,2,104,000,-,강화대로,0,0,0,50,0,0,0,0,13.756757790294,20250512,,LINK0001,
2320588100,2320206403,2320202802,1,107,000,-,황금산단1로,0,0,0,40,0,0,0,0,112.532207350031,20250512,,LINK0003,
2320103102,2320388000,2320029106,1,107,000,-,수남로,0,0,0,60,0,0,0,0,242.801770013645,20250512,,LINK1007,2320103100
1690045206,1690018101,1690018104,1,104,000,-,해안서로,0,0,0,60,0,0,0,0,23.215266009701,20250512,,LINK0001,
2320072102,2320448000,2320452400,2,107,000,-,중봉로,0,0,0,50,0,0,0,0,35.620612158020,20250512,,LINK1007,2320072100
2320045005,2320229200,2320322100,2,107,000,-,하성로,0,0,0,60,0,0,0,0,148.599360202364,20250512,,LINK1007,2320045002
2320016108,2320007110,2320007312,4,103,000,48,김포대로,0,0,0,70,0,0,0,0,257.708024537839,20250512,,LINK0003,
2320015611,2320110901,2320519700,1,105,000,78,금포로,0,0,0,60,0,0,0,0,308.773625215892,20250512,,LINK0003,
2320523205,2320315400,2320250800,1,107,000,-,율마로438번길,0,0,0,50,0,0,0,0,82.814127927242,20250512,,LINK1007,2320523200
1690025207,1690008507,1690008510,1,104,000,-,선원사지로,0,0,0,50,0,0,0,0,12.000170128183,20250512,,LINK0001,
1690015744,1690307800,1690154600,1,104,000,-,해안남로,0,0,0,60,0,0,0,0,328.341202677452,20250512,,LINK1007,1690015700
2320142000,2320057801,2320040502,3,105,000,98,송포.인천간도로,0,0,0,60,0,0,0,0,145.601180735646,20250512,,LINK0003,
2320163400,2320064802,2320064902,1,107,003,-,석모로,0,0,0,60,0,0,0,0,39.260159149500,20250512,,LINK0003,
2320566701,2320199702,2320042803,1,107,000,-,-,0,0,0,30,0,0,0,0,208.679437742059,20250512,도로명없음,LINK0003,
2320567401,2320051703,2320301200,1,107,000,-,검암2로,0,0,0,30,0,0,0,0,270.019953164019,20250512,,LINK0003,
1690044305,1690071900,1690030400,1,104,000,-,삼산동로,0,0,0,50,0,0,0,0,116.413194525651,20250512,,LINK1007,1690044300
1690002204,1690001009,1690001008,1,105,000,84,강화동로,0,0,0,50,0,0,0,0,12.009568804049,20250512,,LINK0001,
2320475202,2320252300,2320171302,2,107,000,-,풍무1로,0,0,0,40,0,0,0,0,34.283149964498,20250512,,LINK1007,2320475200
1690059103,1690002408,1690002407,1,104,000,-,갑룡길,0,0,0,30,0,0,0,0,13.545325312371,20241129,,LINK1007,1690059100
2320572801,2320201703,2320198604,1,107,000,-,상미2로,0,0,0,30,0,0,0,0,30.889714467099,20250512,,LINK0003,
2320496701,2320002504,2320002503,2,107,000,-,사우동로,0,0,0,30,0,0,0,0,12.763693704288,20250512,,LINK0001,
2320015703,2320006904,2320007017,3,103,000,48,김포대로,0,0,0,70,0,0,0,0,147.223739245579,20241129,,LINK0003,
1690063001,1690022303,1690022302,1,104,000,-,관청길,0,0,0,30,0,0,0,0,8.945961453949,20250512,,LINK0001,
2320052004,2320461200,2320019003,1,107,000,-,봉화로,0,0,0,30,0,0,0,0,137.929357624767,20250512,,LINK1007,2320052000
1690052400,1690003304,1690181900,1,104,000,-,강화대로,0,0,0,50,0,0,0,0,148.113321779903,20250512,,LINK0003,
2320537800,2320188501,2320188702,1,107,000,-,황금3로39번길,0,0,0,40,0,0,0,0,88.227868593659,20250512,,LINK0003,
2320050304,2320223700,2320265300,1,107,000,-,용강로,0,0,0,10,0,0,0,0,198.269551502505,20250512,,LINK1007,2320050302
2320096110,2320307100,2320237300,1,107,000,-,조강로,0,0,0,30,0,0,0,0,138.948897725852,20250512,,LINK1007,2320096101
2320151300,2320061001,2320060702,2,107,000,-,김포한강9로,0,0,0,30,0,0,0,0,54.796555877213,20250512,,LINK0003,
2320006601,2320002605,2320002619,2,107,000,-,김포대로,0,0,0,60,0,0,0,0,30.244716854631,20250512,,LINK0003,
2320568902,2320196702,2320196705,1,107,000,-,-,0,0,0,30,0,0,0,0,19.306148535164,20250512,도로명없음,LINK0001,
2320097606,2320053102,2320053002,1,107,000,-,서암로,0,0,0,60,0,0,0,0,93.317905147514,20250512,,LINK0003,
1690056429,1690320600,1690203100,1,104,000,-,교동동로,0,0,0,60,0,0,0,0,367.966596087929,20250512,,LINK1007,1690056400
2320081501,2320013304,2320013303,1,107,000,-,신곡로3번길,0,0,0,30,0,0,0,0,13.007099312693,20250512,,LINK0001,
2320474200,2320014802,2320170802,1,107,000,-,풍무로146번길,0,0,0,40,0,0,0,0,325.297596889119,20250512,,LINK0003,
2320525904,2320269800,2320062205,1,107,000,-,양곡3로1번길,0,0,0,30,0,0,0,0,59.056822537844,20250512,,LINK1007,2320525900
2320580910,2320293900,2320281800,1,105,000,56,애기봉로,0,0,0,60,0,0,0,0,102.797049743832,20250512,,LINK1007,2320580901
1690028401,1690011302,1690011301,1,106,000,301,강화서로,0,0,0,60,0,0,0,0,13.567931276628,20250512,,LINK0001,
1690051100,1690020204,1690087200,1,104,000,-,강화대로,0,0,0,60,0,0,0,0,94.820858335940,20250512,,LINK0003,
2320555301,2320196403,2320196303,1,107,000,-,정서진로,0,0,0,50,5,0,480,0,66.591922339755,20250512,,LINK0003,
2320529100,2320185804,2320038403,3,107,000,-,삼도로174번길,0,0,0,60,0,0,0,0,176.105096929962,20250512,,LINK0003,
2320445102,2320465500,2320084001,3,107,000,-,김포한강3로,0,0,0,60,0,0,0,0,357.689752488708,20250512,,LINK1007,2320445100
2320194000,2320074904,2320074701,1,107,000,-,김포한강3로237번길,0,0,0,40,0,0,0,0,21.681995834776,20250512,,LINK0003,
1690021846,1690312800,1690058200,1,104,000,-,삼산남로,0,0,0,60,0,0,0,0,297.800077617417,20250512,,LINK1007,1690021803
1690030411,1690235800,1690236000,1,106,000,301,전망대로,0,0,0,30,0,0,0,0,488.826682402843,20250512,,LINK1007,1690030401
2320250700,2320091303,2320091504,2,107,000,-,김포한강1로,0,0,0,50,0,0,0,0,154.696444930030,20250512,,LINK0003,
2320105000,2320038704,2320038801,1,107,000,-,고음달로,0,0,0,60,0,0,0,0,151.563814465972,20250512,,LINK0003,
